"model_id","mean_residual_deviance","rmse","mse","mae","rmsle"
"DeepLearning_grid__3_AutoML_20210414_093107_model_11",1589.21538702884,39.8649644052122,1589.21538702884,23.4775163282347,NA
"DeepLearning_grid__1_AutoML_20210414_093107_model_1",1664.03949562769,40.7926402139858,1664.03949562769,23.5801474203684,NA
"DeepLearning_grid__3_AutoML_20210414_093107_model_4",1664.72022986884,40.8009831973304,1664.72022986884,24.2139379556229,0.452665404678634
"DeepLearning_grid__1_AutoML_20210414_093107_model_4",1668.76522674291,40.8505229678019,1668.76522674291,23.6813553462051,NA
"DeepLearning_grid__1_AutoML_20210414_093107_model_6",1705.08128158521,41.2926298700532,1705.08128158521,24.5820689712181,0.466229385334585
"DeepLearning_grid__1_AutoML_20210414_093107_model_9",1751.55108245719,41.851536201879,1751.55108245719,25.0515225768519,0.477253102153114
"DeepLearning_grid__1_AutoML_20210414_093107_model_5",1752.25021596966,41.8598879115754,1752.25021596966,27.0348830062692,0.529936751726044
"DeepLearning_grid__2_AutoML_20210414_093107_model_14",1755.82765809306,41.9025972714468,1755.82765809306,24.9622694738953,0.470138619101994
"DeepLearning_grid__3_AutoML_20210414_093107_model_10",1762.2452723022,41.9791051870118,1762.2452723022,23.0471885777097,0.43831964287991
"DeepLearning_grid__2_AutoML_20210414_093107_model_4",1769.14550879026,42.061211451767,1769.14550879026,26.3340589312858,0.482629678990675
"DeepLearning_grid__1_AutoML_20210414_093107_model_7",1787.60082028704,42.280028622117,1787.60082028704,24.0231749919596,NA
"DeepLearning_grid__1_AutoML_20210414_093107_model_3",1806.68009533257,42.5050596439127,1806.68009533257,24.5102282530225,0.45476077054214
"DeepLearning_grid__2_AutoML_20210414_093107_model_10",1824.74303384907,42.7170110594019,1824.74303384907,26.2605937071958,0.489488261948571
"GBM_grid__1_AutoML_20210414_093107_model_3",1840.13838998729,42.8968342653311,1840.13838998729,26.13180575305,0.508460891232766
"GBM_5_AutoML_20210414_093107",1888.1079385701,43.4523640158979,1888.1079385701,25.4498894388775,NA
"GBM_grid__1_AutoML_20210414_093107_model_5",1920.91292210597,43.8282206130476,1920.91292210597,25.9062026392923,0.502179286529226
"GBM_grid__1_AutoML_20210414_093107_model_7",1923.77421778908,43.8608506277418,1923.77421778908,25.2919074629091,NA
"DeepLearning_grid__2_AutoML_20210414_093107_model_15",1937.16776114873,44.0132680125974,1937.16776114873,28.7655858510574,0.526793562509048
"GBM_grid__1_AutoML_20210414_093107_model_4",1973.35167334429,44.4224230917708,1973.35167334429,25.544403181251,NA
"GBM_grid__1_AutoML_20210414_093107_model_2",1979.73763687634,44.4942427385425,1979.73763687634,26.2336471174674,0.503926927566145
"DeepLearning_1_AutoML_20210414_093107",2053.4079896907,45.314545012509,2053.4079896907,27.1893503559991,0.503177010640091
"GBM_2_AutoML_20210414_093107",2054.08453838669,45.322009425738,2054.08453838669,25.8652310909648,0.489452284445392
"DeepLearning_grid__3_AutoML_20210414_093107_model_8",2063.63965325896,45.427300748107,2063.63965325896,30.9526515774468,0.592239940901825
"GBM_grid__1_AutoML_20210414_093107_model_6",2081.28867417849,45.6211428416528,2081.28867417849,26.2442598406452,0.491715060042064
"DeepLearning_grid__1_AutoML_20210414_093107_model_2",2093.56508173377,45.7554923668598,2093.56508173377,27.0053756314607,NA
"GBM_grid__1_AutoML_20210414_093107_model_1",2097.40592721478,45.7974445489568,2097.40592721478,27.0722726324745,NA
"DeepLearning_grid__1_AutoML_20210414_093107_model_8",2112.01460941083,45.9566601202789,2112.01460941083,26.5256256646575,NA
"GBM_4_AutoML_20210414_093107",2128.44908271802,46.1351176731784,2128.44908271802,26.1599112569113,NA
"DeepLearning_grid__2_AutoML_20210414_093107_model_16",2173.53803330157,46.6212187024489,2173.53803330157,25.6874037502932,NA
"XRT_1_AutoML_20210414_093107",2184.85984547249,46.7424843742017,2184.85984547249,26.0372121264869,0.485471447476161
"DeepLearning_grid__3_AutoML_20210414_093107_model_7",2213.58416190774,47.0487424051668,2213.58416190774,31.7088372683168,0.588259623551276
"DeepLearning_grid__2_AutoML_20210414_093107_model_2",2224.32231796873,47.1627216980607,2224.32231796873,33.7510739018774,0.625407886142453
"GLM_1_AutoML_20210414_093107",2252.03552892313,47.4556164107382,2252.03552892313,30.1810681465172,NA
"DeepLearning_grid__2_AutoML_20210414_093107_model_9",2292.10707964977,47.8759551304177,2292.10707964977,37.2730338019673,0.676539377488615
"GBM_3_AutoML_20210414_093107",2292.92916054057,47.8845398906638,2292.92916054057,26.3561636855474,0.494765840979928
"DeepLearning_grid__3_AutoML_20210414_093107_model_1",2390.23862663304,48.8900667480935,2390.23862663304,37.8062785754552,0.678678856852273
"DeepLearning_grid__2_AutoML_20210414_093107_model_8",2413.34243756424,49.1257818010486,2413.34243756424,37.0994596315336,0.678702128219584
"DeepLearning_grid__2_AutoML_20210414_093107_model_13",2486.06853521457,49.8604907237641,2486.06853521457,38.1623036502916,0.690919799275118
"DeepLearning_grid__2_AutoML_20210414_093107_model_7",2607.35193321638,51.0622358814846,2607.35193321638,39.8074624360917,0.696784946278098
"DRF_1_AutoML_20210414_093107",2682.8072791084,51.7958229890056,2682.8072791084,27.2220041649965,0.505500535455912
"DeepLearning_grid__3_AutoML_20210414_093107_model_3",2691.02396198994,51.8750803564673,2691.02396198994,40.1516064061534,0.678847596714572
"DeepLearning_grid__2_AutoML_20210414_093107_model_1",2814.04414019208,53.0475648846588,2814.04414019208,44.3324173913155,0.764170328405116
"DeepLearning_grid__3_AutoML_20210414_093107_model_2",2949.9626297402,54.3135584337852,2949.9626297402,42.9092329640656,0.757634549319403
"DeepLearning_grid__2_AutoML_20210414_093107_model_3",2968.25868005799,54.4817279466978,2968.25868005799,45.1148597238164,0.747606381362117
"DeepLearning_grid__3_AutoML_20210414_093107_model_5",3507.29960352567,59.2224586075728,3507.29960352567,49.3160858086991,0.845694312447022
"DeepLearning_grid__3_AutoML_20210414_093107_model_12",3528.46125303696,59.4008522921764,3528.46125303696,51.7869842655099,0.865930764127676
"GBM_1_AutoML_20210414_093107",3693.21517425746,60.7718287881603,3693.21517425746,27.7191939997413,NA
"DeepLearning_grid__2_AutoML_20210414_093107_model_5",3777.55005120021,61.4617771562148,3777.55005120021,54.1583603711487,0.884700218982475
"DeepLearning_grid__2_AutoML_20210414_093107_model_11",4051.70764022945,63.6530253815909,4051.70764022945,38.4501691851552,NA
"DeepLearning_grid__2_AutoML_20210414_093107_model_6",4581.81585505272,67.6891117909869,4581.81585505272,59.9528896093881,0.908536046431121
"DeepLearning_grid__2_AutoML_20210414_093107_model_12",6048.93487874179,77.7748987703731,6048.93487874179,71.2493134087567,1.04027408893739
"DeepLearning_grid__3_AutoML_20210414_093107_model_9",7075.34724755568,84.1150833534372,7075.34724755568,78.7921068620215,1.09557730292056
"DeepLearning_grid__3_AutoML_20210414_093107_model_6",10295.4790445113,101.466640057269,10295.4790445113,96.2481858402747,1.18619798185741
